instance,is_best,rank_by_objective,open_depots,open_depots_base,open_depots_idx,status_name,objective,best_bound,achieved_mip_gap,achieved_mip_gap_pct,runtime_sec,error
Instance1,1,1,"[15, 17]","[0, 5]","[0, 2]",OPTIMAL,94.63333333333333,94.63333333333333,0.0,0.0,34.324000120162964,
Instance1,0,2,"[16, 17]","[2, 5]","[1, 2]",OPTIMAL,97.28,97.28,0.0,0.0,31.715999841690063,
Instance1,0,3,"[15, 19]","[0, 13]","[0, 4]",OPTIMAL,105.60000000000001,105.60000000000001,0.0,0.0,31.430999994277954,
Instance1,0,4,"[17, 18]","[5, 11]","[2, 3]",OPTIMAL,106.81,106.81,0.0,0.0,27.082000017166138,
Instance1,0,5,"[16, 19]","[2, 13]","[1, 4]",OPTIMAL,109.19666666666666,109.19666666666666,0.0,0.0,22.213000059127808,
Instance1,0,6,"[17, 19]","[5, 13]","[2, 4]",OPTIMAL,116.11999999999999,116.11999999999999,0.0,0.0,14.860999822616577,
Instance1,0,7,"[18, 19]","[11, 13]","[3, 4]",OPTIMAL,125.57,125.57,0.0,0.0,21.973999977111816,
Instance1,0,8,"[15, 18]","[0, 11]","[0, 3]",OPTIMAL,137.34666666666666,137.34666666666666,0.0,0.0,38.53999996185303,
Instance1,0,9,"[16, 18]","[2, 11]","[1, 3]",OPTIMAL,137.78333333333333,137.78333333333333,0.0,0.0,26.560999870300293,
Instance1,0,10,"[15, 16]","[0, 2]","[0, 1]",OPTIMAL,146.67666666666665,146.67666666666665,0.0,0.0,30.680000066757202,
Instance2,1,1,"[15, 16]","[1, 3]","[0, 1]",OPTIMAL,9.62,9.62,0.0,0.0,61.38000011444092,
Instance2,0,2,"[15, 19]","[1, 12]","[0, 4]",OPTIMAL,9.77,9.77,0.0,0.0,50.42300009727478,
Instance2,0,3,"[18, 19]","[6, 12]","[3, 4]",OPTIMAL,10.306666666666668,10.306666666666668,0.0,0.0,64.63100004196167,
Instance2,0,4,"[16, 18]","[3, 6]","[1, 3]",OPTIMAL,10.353333333333332,10.353333333333332,0.0,0.0,68.61600017547607,
Instance2,0,5,"[15, 17]","[1, 4]","[0, 2]",OPTIMAL,10.49,10.49,0.0,0.0,19.01699995994568,
Instance2,0,6,"[17, 18]","[4, 6]","[2, 3]",OPTIMAL,10.87,10.87,0.0,0.0,34.39900016784668,
Instance2,0,7,"[16, 17]","[3, 4]","[1, 2]",OPTIMAL,10.940000000000001,10.94,1.623726544241545e-16,1.623726544241545e-14,29.58799982070923,
Instance2,0,8,"[17, 19]","[4, 12]","[2, 4]",OPTIMAL,12.403333333333334,12.403333333333334,0.0,0.0,35.30900001525879,
Instance2,0,9,"[15, 18]","[1, 6]","[0, 3]",OPTIMAL,12.886666666666667,12.886666666666665,1.378445555664964e-16,1.378445555664964e-14,24.222000122070312,
Instance2,0,10,"[16, 19]","[3, 12]","[1, 4]",OPTIMAL,13.956666666666667,13.956666666666667,0.0,0.0,22.325000047683716,
Instance3,1,1,"[15, 18]","[5, 8]","[0, 3]",OPTIMAL,10.036666666666669,10.036666666666667,1.7698673258720526e-16,1.7698673258720526e-14,23.072999954223633,
Instance3,0,2,"[18, 19]","[8, 14]","[3, 4]",OPTIMAL,10.123333333333333,10.123333333333333,0.0,0.0,21.094000101089478,
Instance3,0,3,"[17, 18]","[7, 8]","[2, 3]",OPTIMAL,10.376666666666669,10.376666666666667,1.7118761703182623e-16,1.7118761703182624e-14,25.424999952316284,
Instance3,0,4,"[15, 17]","[5, 7]","[0, 2]",OPTIMAL,10.379999999999999,10.379999999999999,0.0,0.0,18.16200017929077,
Instance3,0,5,"[15, 19]","[5, 14]","[0, 4]",OPTIMAL,10.49,10.49,0.0,0.0,15.341000080108643,
Instance3,0,6,"[15, 16]","[5, 6]","[0, 1]",OPTIMAL,10.843333333333334,10.843333333333332,1.6382018193054876e-16,1.6382018193054876e-14,16.835000038146973,
Instance3,0,7,"[16, 18]","[6, 8]","[1, 3]",OPTIMAL,11.01,11.009999999999998,1.6134031238876025e-16,1.6134031238876024e-14,11.336999893188477,
Instance3,0,8,"[16, 19]","[6, 14]","[1, 4]",OPTIMAL,11.553333333333333,11.553333333333331,1.537527558626876e-16,1.537527558626876e-14,11.660000085830688,
Instance3,0,9,"[17, 19]","[7, 14]","[2, 4]",OPTIMAL,11.713333333333335,11.713333333333333,1.5165254747298664e-16,1.5165254747298663e-14,14.157999992370605,
Instance3,0,10,"[16, 17]","[6, 7]","[1, 2]",OPTIMAL,16.91333333333333,16.91333333333333,0.0,0.0,11.496999979019165,
Instance4,1,1,"[16, 17]","[5, 10]","[1, 2]",OPTIMAL,7.37,7.37,0.0,0.0,40.24799990653992,
Instance4,0,2,"[17, 19]","[10, 14]","[2, 4]",OPTIMAL,7.966666666666667,7.966666666666667,0.0,0.0,61.05399990081787,
Instance4,0,3,"[15, 16]","[1, 5]","[0, 1]",OPTIMAL,8.446666666666667,8.446666666666667,0.0,0.0,37.93899989128113,
Instance4,0,4,"[15, 19]","[1, 14]","[0, 4]",OPTIMAL,9.106666666666667,9.106666666666666,1.9506114634702602e-16,1.9506114634702603e-14,50.44700002670288,
Instance4,0,5,"[17, 18]","[10, 12]","[2, 3]",OPTIMAL,10.613333333333333,10.613333333333333,0.0,0.0,77.66800022125244,
Instance4,0,6,"[16, 18]","[5, 12]","[1, 3]",OPTIMAL,10.679999999999998,10.679999999999998,0.0,0.0,26.294000148773193,
Instance4,0,7,"[18, 19]","[12, 14]","[3, 4]",OPTIMAL,10.85,10.85,0.0,0.0,26.905999898910522,
Instance4,0,8,"[15, 18]","[1, 12]","[0, 3]",OPTIMAL,11.25,11.249999999999998,1.5789838572446671e-16,1.578983857244667e-14,57.35700011253357,
Instance4,0,9,"[15, 17]","[1, 10]","[0, 2]",OPTIMAL,15.966666666666667,15.966666666666667,0.0,0.0,18.801000118255615,
Instance4,0,10,"[16, 19]","[5, 14]","[1, 4]",OPTIMAL,16.213333333333335,16.21333333333333,2.1912296538654404e-16,2.1912296538654403e-14,23.586000204086304,
Instance5,1,1,"[17, 19]","[5, 10]","[2, 4]",OPTIMAL,8.843333333333335,8.843333333333334,2.0086960113836222e-16,2.0086960113836224e-14,36.98299980163574,
Instance5,0,2,"[16, 19]","[4, 10]","[1, 4]",OPTIMAL,9.913333333333336,9.913333333333334,1.7918865225960828e-16,1.791886522596083e-14,42.585999965667725,
Instance5,0,3,"[15, 17]","[3, 5]","[0, 2]",OPTIMAL,10.836666666666668,10.836666666666666,1.6392096334053372e-16,1.6392096334053372e-14,18.007000207901,
Instance5,0,4,"[18, 19]","[8, 10]","[3, 4]",OPTIMAL,11.003333333333334,11.003333333333334,0.0,0.0,51.79899978637695,
Instance5,0,5,"[15, 16]","[3, 4]","[0, 1]",OPTIMAL,11.826666666666666,11.826666666666666,0.0,0.0,19.353000164031982,
Instance5,0,6,"[15, 18]","[3, 8]","[0, 3]",OPTIMAL,13.703333333333337,13.703333333333333,2.592590862661518e-16,2.592590862661518e-14,21.558000087738037,
Instance5,0,7,"[15, 19]","[3, 10]","[0, 4]",OPTIMAL,14.160000000000002,14.16,1.2544892933617586e-16,1.2544892933617586e-14,9.000999927520752,
Instance5,0,8,"[17, 18]","[5, 8]","[2, 3]",OPTIMAL,16.893333333333338,16.893333333333334,2.1030270395425218e-16,2.1030270395425217e-14,20.774999856948853,
Instance5,0,9,"[16, 18]","[4, 8]","[1, 3]",OPTIMAL,17.51666666666667,17.516666666666666,2.0281904921791628e-16,2.0281904921791627e-14,17.48900008201599,
Instance5,0,10,"[16, 17]","[4, 5]","[1, 2]",OPTIMAL,19.166666666666664,19.166666666666664,0.0,0.0,11.485000133514404,
Instance6,1,1,"[15, 16]","[3, 7]","[0, 1]",OPTIMAL,13.526666666666669,13.526666666666666,2.626451709315303e-16,2.6264517093153032e-14,94.45600008964539,
Instance6,0,2,"[16, 19]","[7, 12]","[1, 4]",OPTIMAL,14.803333333333338,14.803333333333333,3.5999125319978044e-16,3.599912531997804e-14,70.50599980354309,
Instance6,0,3,"[16, 17]","[7, 8]","[1, 2]",OPTIMAL,15.090000000000003,15.09,2.354349687740557e-16,2.3543496877405567e-14,74.30800008773804,
Instance6,0,4,"[15, 18]","[3, 10]","[0, 3]",OPTIMAL,15.603333333333333,15.603333333333332,1.1384470237557682e-16,1.1384470237557683e-14,75.00200009346008,
Instance6,0,5,"[18, 19]","[10, 12]","[3, 4]",OPTIMAL,17.00666666666667,17.006666666666668,2.0890123552335357e-16,2.0890123552335358e-14,62.41599988937378,
Instance6,0,6,"[17, 18]","[8, 10]","[2, 3]",OPTIMAL,17.296666666666667,17.296666666666667,0.0,0.0,69.58000016212463,
Instance6,0,7,"[16, 18]","[7, 10]","[1, 3]",OPTIMAL,23.346666666666668,23.346666666666668,0.0,0.0,35.60599994659424,
Instance6,0,8,"[15, 17]","[3, 8]","[0, 2]",OPTIMAL,25.89666666666667,25.89666666666666,2.7437613686192565e-16,2.7437613686192566e-14,38.46399998664856,
Instance6,0,9,"[15, 19]","[3, 12]","[0, 4]",OPTIMAL,28.113333333333333,28.113333333333333,0.0,0.0,28.822999954223633,
Instance6,0,10,"[17, 19]","[8, 12]","[2, 4]",OPTIMAL,34.153333333333336,34.153333333333286,1.4563144105955596e-15,1.4563144105955596e-13,20.421000003814697,
Instance7,1,1,"[16, 18]","[5, 8]","[1, 3]",OPTIMAL,81.23333333333333,81.23333333333333,0.0,0.0,102.73199987411499,
Instance7,0,2,"[16, 19]","[5, 11]","[1, 4]",OPTIMAL,83.70000000000002,83.7,1.6978321045641577e-16,1.6978321045641577e-14,230.4340000152588,
Instance7,0,3,"[15, 16]","[1, 5]","[0, 1]",OPTIMAL,84.7,84.7,0.0,0.0,125.9539999961853,
Instance7,0,4,"[16, 17]","[5, 7]","[1, 2]",OPTIMAL,85.87,85.86999999999999,1.6549266001166885e-16,1.6549266001166885e-14,168.88899993896484,
Instance7,0,5,"[18, 19]","[8, 11]","[3, 4]",OPTIMAL,106.18333333333334,106.18333333333334,0.0,0.0,50.7260000705719,
Instance7,0,6,"[17, 18]","[7, 8]","[2, 3]",OPTIMAL,110.50333333333334,110.50333333333333,1.2860114067631747e-16,1.2860114067631748e-14,30.08299994468689,
Instance7,0,7,"[15, 19]","[1, 11]","[0, 4]",OPTIMAL,115.28333333333335,115.28333333333332,2.4653788720894035e-16,2.4653788720894035e-14,73.86999988555908,
Instance7,0,8,"[15, 17]","[1, 7]","[0, 2]",OPTIMAL,119.38,119.38,0.0,0.0,41.1010000705719,
Instance7,0,9,"[15, 18]","[1, 8]","[0, 3]",OPTIMAL,139.1,139.1,0.0,0.0,57.75600004196167,
Instance7,0,10,"[17, 19]","[7, 11]","[2, 4]",OPTIMAL,146.4,146.4,0.0,0.0,37.22500014305115,
Instance8,1,1,"[15, 19]","[1, 14]","[0, 4]",OPTIMAL,6.543333333333334,6.543333333333334,0.0,0.0,51.00999999046326,
Instance8,0,2,"[17, 19]","[8, 14]","[2, 4]",OPTIMAL,7.113333333333333,7.113333333333333,0.0,0.0,28.818000078201294,
Instance8,0,3,"[15, 18]","[1, 12]","[0, 3]",OPTIMAL,7.256666666666667,7.256666666666667,0.0,0.0,103.9449999332428,
Instance8,0,4,"[17, 18]","[8, 12]","[2, 3]",OPTIMAL,8.003333333333334,8.003333333333334,0.0,0.0,63.145999908447266,
Instance8,0,5,"[15, 16]","[1, 7]","[0, 1]",OPTIMAL,8.200000000000001,8.2,2.1662888285368905e-16,2.1662888285368905e-14,70.82999992370605,
Instance8,0,6,"[16, 17]","[7, 8]","[1, 2]",OPTIMAL,8.786666666666669,8.786666666666667,2.021650424203623e-16,2.021650424203623e-14,30.388999938964844,
Instance8,0,7,"[16, 19]","[7, 14]","[1, 4]",OPTIMAL,9.793333333333335,9.793333332857516,4.85859593991249e-11,4.8585959399124895e-09,23.47699999809265,
Instance8,0,8,"[16, 18]","[7, 12]","[1, 3]",OPTIMAL,10.520000000000001,10.520000000000001,0.0,0.0,41.08899998664856,
Instance8,0,9,"[18, 19]","[12, 14]","[3, 4]",OPTIMAL,15.21,15.209999999999997,2.335774936752466e-16,2.335774936752466e-14,25.930000066757202,
Instance8,0,10,"[15, 17]","[1, 8]","[0, 2]",OPTIMAL,15.716666666666665,15.716666666666665,0.0,0.0,20.23900008201599,
Instance9,1,1,"[15, 18]","[2, 8]","[0, 3]",OPTIMAL,90.63333333333334,90.63333333333334,0.0,0.0,34.801000118255615,
Instance9,0,2,"[17, 19]","[6, 13]","[2, 4]",OPTIMAL,92.43333333333334,92.43333333333332,1.5374166659071766e-16,1.5374166659071766e-14,29.96299982070923,
Instance9,0,3,"[17, 18]","[6, 8]","[2, 3]",OPTIMAL,92.47000000000001,92.47,1.5368070417651132e-16,1.536807041765113e-14,23.33400011062622,
Instance9,0,4,"[16, 18]","[4, 8]","[1, 3]",OPTIMAL,94.5,94.5,0.0,0.0,23.10800004005432,
Instance9,0,5,"[15, 19]","[2, 13]","[0, 4]",OPTIMAL,100.13666666666668,100.13666666666666,2.838291944050198e-16,2.8382919440501983e-14,18.55299997329712,
Instance9,0,6,"[16, 19]","[4, 13]","[1, 4]",OPTIMAL,105.50666666666669,105.50666666666666,2.6938306676106407e-16,2.693830667610641e-14,10.944000005722046,
Instance9,0,7,"[15, 17]","[2, 6]","[0, 2]",OPTIMAL,109.63333333333335,109.63333333333335,0.0,0.0,29.24899983406067,
Instance9,0,8,"[18, 19]","[8, 13]","[3, 4]",OPTIMAL,110.28999999999999,110.28999999999998,1.2884989314717568e-16,1.2884989314717567e-14,19.710999965667725,
Instance9,0,9,"[16, 17]","[4, 6]","[1, 2]",OPTIMAL,111.22666666666667,111.22666666666666,1.2776481702710984e-16,1.2776481702710983e-14,20.039999961853027,
Instance9,0,10,"[15, 16]","[2, 4]","[0, 1]",OPTIMAL,200.00333333333333,200.00333333333333,0.0,0.0,12.138000011444092,
Instance10,1,1,"[17, 19]","[4, 14]","[2, 4]",OPTIMAL,105.17666666666668,105.17666666666666,1.3511413857828417e-16,1.3511413857828417e-14,450.1949999332428,
Instance10,0,2,"[18, 19]","[6, 14]","[3, 4]",OPTIMAL,106.17333333333333,106.17333333333333,0.0,0.0,666.0610001087189,
Instance10,0,3,"[16, 18]","[2, 6]","[1, 3]",OPTIMAL,109.55000000000003,109.55000000000001,1.2972026211959837e-16,1.2972026211959837e-14,74.45700001716614,
Instance10,0,4,"[16, 17]","[2, 4]","[1, 2]",OPTIMAL,110.37,110.36999999999999,1.2875649828034795e-16,1.2875649828034795e-14,68.1489999294281,
Instance10,0,5,"[15, 17]","[1, 4]","[0, 2]",OPTIMAL,112.13333333333333,112.13333333333333,0.0,0.0,126.51899981498718,
Instance10,0,6,"[15, 18]","[1, 6]","[0, 3]",OPTIMAL,112.18333333333331,112.18333333333331,0.0,0.0,125.18300008773804,
Instance10,0,7,"[16, 19]","[2, 14]","[1, 4]",OPTIMAL,115.02000000000002,115.02,2.4710232507741263e-16,2.4710232507741264e-14,215.20900011062622,
Instance10,0,8,"[15, 19]","[1, 14]","[0, 4]",OPTIMAL,123.74000000000002,123.73999999999998,3.4453340993701313e-16,3.445334099370131e-14,118.36800003051758,
Instance10,0,9,"[15, 16]","[1, 2]","[0, 1]",OPTIMAL,132.70000000000002,132.7,2.1418017656672196e-16,2.1418017656672196e-14,68.04500007629395,
Instance10,0,10,"[17, 18]","[4, 6]","[2, 3]",OPTIMAL,179.89333333333337,179.89333333333332,3.1598402123929735e-16,3.1598402123929736e-14,40.76799988746643,
